iter	Passed	Remaining
0	0	84
1	1	79
2	2	74
3	2	68
4	3	67
5	4	66
6	4	65
7	5	66
8	6	65
9	7	64
10	7	63
11	8	62
12	9	61
13	9	61
14	10	60
15	11	60
16	12	60
17	13	59
18	13	58
19	14	57
20	15	57
21	15	56
22	16	56
23	17	55
24	18	55
25	19	54
26	20	54
27	21	54
28	22	54
29	23	53
30	24	53
31	25	53
32	25	52
33	26	52
34	27	51
35	28	51
36	29	50
37	30	50
38	32	50
39	33	50
40	34	49
41	34	48
42	36	48
43	37	47
44	38	47
45	40	47
46	41	46
47	42	45
48	43	45
49	44	44
50	45	43
51	46	42
52	47	42
53	49	42
54	50	41
55	51	40
56	52	39
57	53	39
58	55	38
59	56	37
60	57	36
61	58	35
62	59	35
63	61	34
64	62	33
65	63	32
66	65	32
67	66	31
68	67	30
69	68	29
70	69	28
71	70	27
72	71	26
73	72	25
74	73	24
75	74	23
76	75	22
77	76	21
78	78	20
79	79	19
80	80	18
81	82	18
82	83	17
83	84	16
84	84	14
85	86	14
86	87	13
87	87	11
88	88	10
89	89	9
90	90	8
91	91	7
92	92	6
93	93	5
94	94	4
95	95	3
96	96	2
97	97	1
98	99	1
99	99	0
